;Kontoadministrator;Informasjonskonsulent;Emneadministrator;Førstelinje;Superbrukar;Emneinnsyn
Administrer grupper;Slått på Administrer grupper Kontoadministrator;Deaktivert Administrer grupper Informasjonskonsulent;Slått på Administrer grupper Emneadministrator;Deaktivert Administrer grupper Førstelinje;Slått på Administrer grupper Superbrukar;Slått på Administrer grupper Emneinnsyn
Grupper - administrer;Slått på Grupper - administrer;Deaktivert Grupper - administrer;Slått på Grupper - administrer;Deaktivert Grupper - administrer;Slått på Grupper - administrer;Slått på Grupper - administrer
Grupper - legg til;Slått på Grupper - legg til;Deaktivert Grupper - legg til;Slått på Grupper - legg til;Deaktivert Grupper - legg til;Slått på Grupper - legg til;Slått på Grupper - legg til
Grupper - slett;Slått på Grupper - slett;Deaktivert Grupper - slett;Slått på Grupper - slett;Deaktivert Grupper - slett;Slått på Grupper - slett;Slått på Grupper - slett
Administrer kontokalendrar;Slått på Administrer kontokalendrar Kontoadministrator;Deaktivert Administrer kontokalendrar Informasjonskonsulent;Deaktivert Administrer kontokalendrar Emneadministrator;Deaktivert Administrer kontokalendrar Førstelinje;Deaktivert Administrer kontokalendrar Superbrukar;Deaktivert Administrer kontokalendrar Emneinnsyn
Kontokalendrar - endre synlegheit;Slått på Kontokalendrar - endre synlegheit;Deaktivert Kontokalendrar - endre synlegheit;Deaktivert Kontokalendrar - endre synlegheit;Deaktivert Kontokalendrar - endre synlegheit;Deaktivert Kontokalendrar - endre synlegheit;Deaktivert Kontokalendrar - endre synlegheit
Kontokalendrar - legg til / endre / slett hendingar;Slått på Kontokalendrar - legg til / endre / slett hendingar;Deaktivert Kontokalendrar - legg til / endre / slett hendingar;Deaktivert Kontokalendrar - legg til / endre / slett hendingar;Deaktivert Kontokalendrar - legg til / endre / slett hendingar;Deaktivert Kontokalendrar - legg til / endre / slett hendingar;Deaktivert Kontokalendrar - legg til / endre / slett hendingar
Administrer oppgåver og quizzar;Slått på Administrer oppgåver og quizzar Kontoadministrator;Deaktivert Administrer oppgåver og quizzar Informasjonskonsulent;Slått på Administrer oppgåver og quizzar Emneadministrator;Deaktivert Administrer oppgåver og quizzar Førstelinje;Slått på Administrer oppgåver og quizzar Superbrukar;Slått på Administrer oppgåver og quizzar Emneinnsyn
Oppgåver og quizar - legg til;Slått på Oppgåver og quizar - legg til;Deaktivert Oppgåver og quizar - legg til;Slått på Oppgåver og quizar - legg til;Deaktivert Oppgåver og quizar - legg til;Slått på Oppgåver og quizar - legg til;Slått på Oppgåver og quizar - legg til
Oppgåver og quizar - rediger;Slått på Oppgåver og quizar - rediger;Deaktivert Oppgåver og quizar - rediger;Slått på Oppgåver og quizar - rediger;Deaktivert Oppgåver og quizar - rediger;Slått på Oppgåver og quizar - rediger;Slått på Oppgåver og quizar - rediger
Oppgåver og quizar - slett;Slått på Oppgåver og quizar - slett;Deaktivert Oppgåver og quizar - slett;Slått på Oppgåver og quizar - slett;Deaktivert Oppgåver og quizar - slett;Slått på Oppgåver og quizar - slett;Slått på Oppgåver og quizar - slett
Administrer sider;Slått på Administrer sider Kontoadministrator;Deaktivert Administrer sider Informasjonskonsulent;Slått på Administrer sider Emneadministrator;Deaktivert Administrer sider Førstelinje;Slått på Administrer sider Superbrukar;Slått på Administrer sider Emneinnsyn
