canvas_course_id,course_id,integration_id,short_name,long_name,canvas_account_id,account_id,canvas_term_id,term_id,status,start_date,end_date,course_format,canvas_blueprint_course_id,blueprint_course_id,created_by_sis
28415,UA_203_MGBNO101_1_2025_VÅR_1_2,,MGBNO101 Bergen - Klasse KRLE/MUS/KoH - V25,MGBNO101 Bergen - Klasse KRLE/MUS/KoH - V25,16841,UE_203_MGBNO101_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
28574,UE_203_DRA304_1_2025_VÅR_1,,DRA304-1 25V,DRA304-1 25V Teaterhistorie og teaterproduksjon,441,ST_0203300400,332,2025_VÅR,active,,,,,,true
28898,UE_203_ERG220_1_2025_VÅR_1,,ERG220-1 25V,ERG220-1 25V Enabling Occupation,355,ST_0203100200,332,2025_VÅR,active,,,,,,true
29684,UE_203_MSU520_1_2025_VÅR_1,,MSU520-1 25V,MSU520-1 25V Klinisk fagledelse og fordypning i klinisk uroterapi,429,ST_0203100100,332,2025_VÅR,active,,,,,,true
28123,UA_203_BØA115_1_2025_VÅR_1_3,,BØA115 Sogndal - Statistikk for økonomer  (3),BØA115 Sogndal - Statistikk for økonomer  (3),16034,UE_203_BØA115_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
29659,UE_203_MSK520_1_2025_VÅR_1,,MSK520-1 25V,MSK520-1 25V Klinisk fagledelse og fordypning i klinisk stomi- og kontinenssykepleie,429,ST_0203100100,332,2025_VÅR,active,,,,,,true
28798,UE_203_BØA115_1_2025_VÅR_1,,BØA115-1 25V,BØA115-1 25V Statistikk for økonomer,15739,ST_0203201400,332,2025_VÅR,unpublished,,,,,,true
29147,UE_203_JU6-1001_1_2025_VÅR_1,,JU6-1001-1 25V,JU6-1001-1 25V Skatte- og avgiftsrett 1,15739,ST_0203201400,332,2025_VÅR,unpublished,,,,,,true
28678,UA_203_STM101_1_2025_VÅR_1_1,,STM101 Bergen - Klasse A (1),STM101 Bergen - Klasse A (1),17418,UE_203_STM101_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
29663,UE_203_MSL520_1_2025_VÅR_1,,MSL520-1 25V,MSL520-1 25V Klinisk fagledelse og fordypning i klinisk lungesykepleie,429,ST_0203100100,332,2025_VÅR,active,,,,,,true
29308,UE_203_FYS220_1_2025_VÅR_1,,FYS220-1 25V,FYS220-1 25V Physiotheraphy in Health Promotion and Preventive work,355,ST_0203100200,332,2025_VÅR,active,,,,,,true
28586,UE_203_DRA311_1_2025_VÅR_1,,DRA311-1 25V,DRA311-1 25V Regi: Eget prosjekt på en valgt samfunnsarena,441,ST_0203300400,332,2025_VÅR,active,,,,,,true
29312,UE_203_IDF350_1_2025_VÅR_1,,IDF350-1 25V,IDF350-1 25V Forskningsmetode og bacheloroppgave,438,ST_0203300100,332,2025_VÅR,active,,,,,,true
29929,UE_203_MGUNA201_1_2025_VÅR_1,,MGUNA201/MGBNA201 25V,"MGUNA201/MGBNA201 25V Naturfag 1, emne 2 - Fysikk og kjemi for grunnskolen",438,ST_0203300100,332,2025_VÅR,active,,,,,,true
29210,UE_203_MAJOR503_1_2025_VÅR_1,,MAJOR503-1 25V,MAJOR503-1 25V Avansert jordmorfag,429,ST_0203100100,332,2025_VÅR,active,,,,,,true
28423,UA_203_MGBNO101_1_2025_VÅR_1_4,,MGBNO101 Bergen - Klasse SAM (4),MGBNO101 Bergen - Klasse SAM (4),16841,UE_203_MGBNO101_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
27960,UA_203_MGUEN201_1_2025_VÅR_1_1,,MGUEN201 Bergen (1),MGUEN201 Bergen (1),16897,UE_203_MGUEN201_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
28162,UA_203_BØA118_1_2025_VÅR_1_2,,BØA118 Haugesund - Makroøkonomi  (2),BØA118 Haugesund - Makroøkonomi  (2),16037,UE_203_BØA118_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
29221,UE_203_MAS533_1_2025_VÅR_1,,MAS533-1 25V,MAS533-1 25V Materialer for energiteknologi,15738,ST_0203201300,332,2025_VÅR,active,,,,,,true
28522,UA_203_VPL390_1_2025_VÅR_1_1,,Bergen VPL390 (1),Bergen VPL390 (1),17665,UE_203_VPL390_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
28917,UE_203_ERGP1_1_2025_VÅR_1,,ERGP1-1 25V,ERGP1-1 25V Ergoterapeutisk yrkesutøvelse,355,ST_0203100200,332,2025_VÅR,active,,,,,,true
29360,UE_203_FØS8114_1_2025_VÅR_1,,FØS8114-1 25V,FØS8114-1 25V Kvalitetsledelse og HMS i havbruksnæringen,15739,ST_0203201400,332,2025_VÅR,active,,,,,,true
30773,UE_203_LUPEKI104_1_2025_VÅR_1,,LUPEKI104-1 25V,LUPEKI104-1 25V Bevegelsesaktiviteter og friluftsliv 2,438,ST_0203300100,332,2025_VÅR,active,,,,,,true
29385,UE_203_ING2046_1_2025_VÅR_1,,ING2046-1 25V,ING2046-1 25V Brannteknisk design av bygg,5316,ST_0203201100,332,2025_VÅR,active,,,,,,true
29391,UE_203_ING2049_1_2025_VÅR_1,,ING2049-1 25V,ING2049-1 25V Undervannsteknologi og hydrauliske systemer,15738,ST_0203201300,332,2025_VÅR,active,,,,,,true
28092,UA_203_MGBKØ201_1_2025_VÅR_1_2,,MGBKØ201 Sogndal (2),MGBKØ201 Sogndal (2),16790,UE_203_MGBKØ201_1_2025_VÅR_1,332,2025_VÅR,unpublished,,,,,,true
30127,UE_203_SYKF140_1_2025_VÅR_1,,SYKF140-1 25V,SYKF140-1 25V Sykdomslære og farmakologi,429,ST_0203100100,332,2025_VÅR,active,,,,,,true
28596,UE_203_ADA502_1_2025_VÅR_1,,ADA502-1 25V,ADA502-1 25V Cloud computing og programvaresystemer,5313,ST_0203201000,332,2025_VÅR,active,,,,,,true
29517,UE_203_MF6-2000_1_2025_VÅR_1,,MF6-2000-1 25V,MF6-2000-1 25V Merkevarestrategi,15739,ST_0203201400,332,2025_VÅR,active,,,,,,true
28164,UA_203_MGBMA101_1_2025_VÅR_1_10,,MGBMA101 Stord (10),MGBMA101 Stord (10),16797,UE_203_MGBMA101_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
28023,UA_203_LUPEKI104_1_2025_VÅR_1_2,,LUPEKI104 Stord  (2),LUPEKI104 Stord  (2),16534,UE_203_LUPEKI104_1_2025_VÅR_1,332,2025_VÅR,unpublished,,,,,,true
29583,UE_203_MS1-340_1_2025_VÅR_1,,MS1-340-1 25V,MS1-340-1 25V Demens og psykiske lidelser blant eldre,429,ST_0203100100,332,2025_VÅR,active,,,,,,true
28951,UE_203_DAT255_1_2025_VÅR_1,,DAT255-1 25V,DAT255-1 25V Deep learning engineering,5313,ST_0203201000,332,2025_VÅR,active,,,,,,true
29610,UE_203_MGBPE201E_1_2025_VÅR_1,,MGBPE201E-1 25V,"MGBPE201E-1 25V Pedagogikk og elevkunnskap, emne 2 - Læreren og eleven i mangfoldige læringsmiljø",439,ST_0203300200,332,2025_VÅR,active,,,,,,true
30490,UA_203_TPHR502_1_2025_VÅR_1_1,,"TPHR502 Bergen, Vår 2025 (1)","TPHR502 Bergen, Vår 2025 (1)",17614,UE_203_TPHR502_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
