section_id,course_id,name,status,start_date,end_date,account_id
UE_203_BBLDPR401_1_2024_HØST_1,UE_203_BBLDPR401_1_2024_HØST_1,BBLDPR401-1 24H,active,,,
UE_203_BBLDPR401_1_2025_HØST_1,UE_203_BBLDPR401_1_2025_HØST_1,BBLDPR401-1 25H,active,,,
UE_203_BBLDPR402_1_2024_HØST_1,UE_203_BBLDPR402_1_2024_HØST_1,BBLDPR402-1 24H,active,,,
UE_203_BFL301_1_2025_HØST_1,UE_203_BFL301_1_2025_HØST_1,BFL301-1 25H,active,,,
UE_203_BIDR100_1_2024_HØST_1,UE_203_BIDR100_1_2024_HØST_1,BIDR100-1 24H,active,,,
UE_203_BIDR100_1_2025_HØST_1,UE_203_BIDR100_1_2025_HØST_1,BIDR100-1 25H,active,,,
UE_203_BIDR201_1_2024_HØST_1,UE_203_BIDR201_1_2024_HØST_1,BIDR201-1 24H,active,,,
UE_203_BIDR201_1_2025_HØST_1,UE_203_BIDR201_1_2025_HØST_1,BIDR201-1 25H,active,,,
UE_203_BIDR202_1_2025_VÅR_1,UE_203_BIDR202_1_2025_VÅR_1,BIDR202-1 25V,active,,,
UE_203_BIDR202_1_2026_VÅR_1,UE_203_BIDR202_1_2026_VÅR_1,BIDR202-1 26V,active,,,
UE_203_BIDR203_1_2025_VÅR_1,UE_203_BIDR203_1_2025_VÅR_1,BIDR203-1 25V,active,,,
UE_203_BIDR203_1_2026_VÅR_1,UE_203_BIDR203_1_2026_VÅR_1,BIDR203-1 26V,active,,,
UE_203_BIDR204_1_2024_HØST_1,UE_203_BIDR204_1_2024_HØST_1,BIDR204-1 24H,active,,,
UE_203_BIDR204_1_2025_HØST_1,UE_203_BIDR204_1_2025_HØST_1,BIDR204-1 25H,active,,,
UE_203_BIDR211_1_2024_HØST_1,UE_203_BIDR211_1_2024_HØST_1,BIDR211-1 24H,active,,,
UE_203_BIDR211_1_2025_HØST_1,UE_203_BIDR211_1_2025_HØST_1,BIDR211-1 25H,active,,,
UE_203_BIDR212_1_2025_VÅR_1,UE_203_BIDR212_1_2025_VÅR_1,BIDR212-1 25V,active,,,
UE_203_BIDR212_1_2026_VÅR_1,UE_203_BIDR212_1_2026_VÅR_1,BIDR212-1 26V,active,,,
UE_203_BIDR213_1_2025_VÅR_1,UE_203_BIDR213_1_2025_VÅR_1,BIDR213-1 25V,active,,,
UE_203_BIDR213_1_2026_VÅR_1,UE_203_BIDR213_1_2026_VÅR_1,BIDR213-1 26V,active,,,
UE_203_BIDR301_1_2025_VÅR_1,UE_203_BIDR301_1_2025_VÅR_1,BIDR301-1 25V,active,,,
UE_203_BIDR301_1_2026_VÅR_1,UE_203_BIDR301_1_2026_VÅR_1,BIDR301-1 26V,active,,,
UE_203_BIDR311_1_2025_VÅR_1,UE_203_BIDR311_1_2025_VÅR_1,BIDR311-1 25V,active,,,
UE_203_BIDR311_1_2026_VÅR_1,UE_203_BIDR311_1_2026_VÅR_1,BIDR311-1 26V,active,,,
UE_203_BIO101_1_2024_HØST_1,UE_203_BIO101_1_2024_HØST_1,BIO101-1 24H,active,,,
UE_203_BIO101_1_2025_HØST_1,UE_203_BIO101_1_2025_HØST_1,BIO101-1 25H,active,,,
UE_203_BIO138_1_2024_HØST_1,UE_203_BIO138_1_2024_HØST_1,BIO138-1 24H,active,,,
UE_203_BIO138_1_2025_HØST_1,UE_203_BIO138_1_2025_HØST_1,BIO138-1 25H,active,,,
UE_203_BIO138_1_2025_VÅR_1,UE_203_BIO138_1_2025_VÅR_1,BIO138-1 25V,active,,,
UE_203_BIO138_1_2026_VÅR_1,UE_203_BIO138_1_2026_VÅR_1,BIO138-1 26V,active,,,
UE_203_BIO139_1_2024_HØST_1,UE_203_BIO139_1_2024_HØST_1,BIO139-1 24H,active,,,
UE_203_BIO139_1_2025_HØST_1,UE_203_BIO139_1_2025_HØST_1,BIO139-1 25H,active,,,
UE_203_BIO139_1_2025_VÅR_1,UE_203_BIO139_1_2025_VÅR_1,BIO139-1 25V,active,,,
UE_203_BIO139_1_2026_VÅR_1,UE_203_BIO139_1_2026_VÅR_1,BIO139-1 26V,active,,,
UE_203_BIO151_1_2024_HØST_1,UE_203_BIO151_1_2024_HØST_1,BIO151-1 24H,active,,,
UE_203_BIO151_1_2025_HØST_1,UE_203_BIO151_1_2025_HØST_1,BIO151-1 25H,active,,,
UE_203_BIO151_1_2025_VÅR_1,UE_203_BIO151_1_2025_VÅR_1,BIO151-1 25V,active,,,
UE_203_BIO151_1_2026_VÅR_1,UE_203_BIO151_1_2026_VÅR_1,BIO151-1 26V,active,,,
UE_203_BIO170_1_2024_HØST_1,UE_203_BIO170_1_2024_HØST_1,BIO170-1 24H,active,,,
UE_203_BIO170_1_2025_HØST_1,UE_203_BIO170_1_2025_HØST_1,BIO170-1 25H,active,,,
