course_id,short_name,long_name,account_id,term_id,status,start_date,end_date,blueprint_course_id
UE_203_YFL814_1_2025_HØST_1,YFL814-1 25H,YFL814-1 25H Tilpasset opplæring og motivasjon i mangfoldige og flerspråklige elevgrupper i yrkesfaglige utdanningsprogram (del 1),ST_0203300200,2025_HØST,active,,,
UE_203_YFL815_1_2025_VÅR_1,YFL815-1 25V,YFL815-1 25V Tilpasset opplæring og motivasjon i mangfoldige og flerspråklige elevgrupper (del 2),ST_0203300200,2025_VÅR,active,,,
UE_203_YFL815_1_2026_VÅR_1,YFL815-1 26V,YFL815-1 26V Tilpasset opplæring og motivasjon i mangfoldige og flerspråklige elevgrupper (del 2),ST_0203300200,2026_VÅR,active,,,
UE_203_YFL817_1_2025_VÅR_1,YFL817-1 25V,YFL817-1 25V Digitalisering og ny teknologi inn i yrkesdidaktikken for HO og EL,ST_0203300200,2025_VÅR,active,,,
UE_203_YFL817_1_2026_VÅR_1,YFL817-1 26V,YFL817-1 26V Digitalisering og ny teknologi inn i yrkesdidaktikken for HO og EL,ST_0203300200,2026_VÅR,active,,,
UE_203_YV205_1_2024_HØST_1,YV205-1 24H,YV205-1 24H Kommunikasjon og norsk,ST_0203201000,2024_HØST-2025_VÅR,active,,,
UE_203_YV206_1_2025_HØST_1,YV206-1 25H,YV206-1 25H Kommunikasjon og norsk,ST_0203201000,2025_HØST-2026_VÅR,active,,,
UE_203_ØAA112_1_2025_VÅR_1,ØAA112-1 25V,"ØAA112-1 25V Lærende ledelse, organisasjon og kultur",ST_0203201400,2025_VÅR,active,,,
UE_203_ØAA112_1_2026_VÅR_1,ØAA112-1 26V,"ØAA112-1 26V Lærende ledelse, organisasjon og kultur",ST_0203201400,2026_VÅR,active,,,
UE_203_ØAA114_1_2024_HØST_1,ØAA114-1 24H,ØAA114-1 24H Human Resource Management,ST_0203201400,2024_HØST,active,,,
UE_203_ØAA114_1_2025_HØST_1,ØAA114-1 25H,ØAA114-1 25H Human Resource Management,ST_0203201400,2025_HØST,active,,,
UE_203_ØAA117_1_2024_HØST_1,ØAA117-1 24H,ØAA117-1 24H Praktisk prosjektledelse,ST_0203201400,2024_HØST,active,,,
UE_203_ØAA117_1_2025_HØST_1,ØAA117-1 25H,ØAA117-1 25H Praktisk prosjektledelse,ST_0203201400,2025_HØST,active,,,
UE_203_ØAF103_1_2025_VÅR_1,ØAF103-1 25V,ØAF103-1 25V Rettsvitenskap 1,ST_0203201400,2025_VÅR,active,,,
UE_203_ØAF103_1_2026_VÅR_1,ØAF103-1 26V,ØAF103-1 26V Rettsvitenskap 1,ST_0203201400,2026_VÅR,active,,,
UE_203_ØAF104_1_2024_HØST_1,ØAF104-1 24H,ØAF104-1 24H Rettsvitenskap 2,ST_0203201400,2024_HØST,active,,,
UE_203_ØAL117_1_2024_HØST_1,ØAL117-1 24H,ØAL117-1 24H Operations & Supply Chain Management,ST_0203201400,2024_HØST,active,,,
UE_203_ØAL117_1_2025_HØST_1,ØAL117-1 25H,ØAL117-1 25H Operations & Supply Chain Management,ST_0203201400,2025_HØST,active,,,
UE_203_ØAL118_1_2024_HØST_1,ØAL118-1 24H,ØAL118-1 24H Operasjonell strategi og utførelse,ST_0203201400,2024_HØST,active,,,
